cache_key,found,query,track_name,artist_name,collection_name,preview_url,artwork_url,track_view_url,source
drinkin in the morning::trampled by turtles,False,Drinkin in the Morning Trampled by Turtles Songs from a Ghost Town,,,,,,,itunes
dr啪i me::judi khan,False,Dr啪i me Judi Khan Dr啪i me,,,,,,,itunes
duas cidades::baianasystem,False,Duas Cidades BaianaSystem Duas Cidades,,,,,,,itunes
duende::kaua correia,False,Duende Kaua Correia Duende,,,,,,,itunes
dust till dawn::dusty decks,False,Dust till Dawn Dusty Decks Solid Centre,,,,,,,itunes
e deixe o tempo ver - ao vivo::humberto & ronaldo,False,E Deixe o Tempo Ver - Ao Vivo Humberto & Ronaldo Romance (Ao Vivo),,,,,,,itunes
each time you fall in love::cigarettes after sex,True,Each Time You Fall in Love Cigarettes After Sex Cigarettes After Sex,Each Time You Fall in Love,Cigarettes After Sex,Cigarettes After Sex,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/60/9a/f3/609af327-c71b-c335-0142-598bee6ba2e4/mzaf_14688895067899796637.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b3/5e/0f/b35e0fbe-2370-fc48-0f0c-977525e93bf2/720841214601_Cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/each-time-you-fall-in-love/1217977525?i=1217977710&uo=4,itunes
eat the meek::frank turner,False,Eat the Meek Frank Turner West Coast vs. Wessex,,,,,,,itunes
ecstasy (instrumental edit)::crooked still,False,Ecstasy (Instrumental Edit) Crooked Still Shaken By A Low Sound (Deluxe),,,,,,,itunes
een mooie droom::zeb maessen,False,Een mooie droom Zeb Maessen Een mooie droom,,,,,,,itunes
el brujo y el tiempo::pappo almafuerte,False,"El Brujo y el Tiempo Pappo Almafuerte Pappo y Amigos, Vol. 1",,,,,,,itunes
el camino de mirabel::germaine franco,False,El camino de Mirabel Germaine Franco Encanto: La fantastique famille Madrigal (Bande Originale Fran莽aise du Film),,,,,,,itunes
el d铆a que me quieras::carlos gardel,False,El D铆a Que Me Quieras Carlos Gardel Tango Collection,,,,,,,itunes
el firulete (with leopoldo federico y su orquesta)::julio sosa leopoldo federico y su orquesta,False,El Firulete (with Leopoldo Federico y Su Orquesta) Julio Sosa Leopoldo Federico y su Orquesta El Firulete,,,,,,,itunes
el firulete::mariano mores,False,El Firulete Mariano Mores From Argentina To The World,,,,,,,itunes
el gordo triste - en vivo teatro regina 1982::astor piazzolla roberto goyeneche,False,El Gordo Triste - En Vivo Teatro Regina 1982 Astor Piazzolla Roberto Goyeneche Edici贸n Cr铆tica: Piazzolla-Goyeneche En Vivo,,,,,,,itunes
el pibe tigre::almafuerte,False,El Pibe Tigre Almafuerte Mundo Guanaco,,,,,,,itunes
el que ama lo que hace::carajo,False,El Que Ama Lo Que Hace Carajo Inmundo,,,,,,,itunes
el simpatico::juan d'arienzo y su orquesta t铆pica,False,El Simpatico Juan D'Arienzo y su Orquesta T铆pica Bien Pulenta,,,,,,,itunes
elastic::4to28,False,Elastic 4to28 Elastic,,,,,,,itunes
electric feel::mgmt,True,Electric Feel MGMT Oracular Spectacular,Electric Feel,MGMT,Oracular Spectacular,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/77/1f/21/771f2156-3df5-d215-0bee-d93942a305d1/mzaf_6086682913579591137.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/3b/26/70/3b2670c7-ae41-3a41-d2a1-c7eedb76c06f/dj.bmwiuprh.jpg/600x600bb.jpg,https://music.apple.com/us/album/electric-feel/264720008?i=264720106&uo=4,itunes
elegy for the arctic - remastered 2020::ludovico einaudi,True,Elegy For The Arctic - Remastered 2020 Ludovico Einaudi Undiscovered,Elegy for the Arctic,Ludovico Einaudi,Elegy for the Arctic - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a3/c3/5b/a3c35bd0-fddb-44a8-c373-7f8fe6a0241c/mzaf_1239382769974642422.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music71/v4/99/6e/f7/996ef755-5c5d-dac4-530f-394780e8aaf1/Cover.DEF.Elegy_For_The_Arctic.jpg/600x600bb.jpg,https://music.apple.com/us/album/elegy-for-the-arctic/1167529239?i=1167529479&uo=4,itunes
embolou::pablo,False,Embolou Pablo 脡 S贸 Dizer Que Sim,,,,,,,itunes
en esta tarde gris - remastered::julio sosa,False,En esta tarde gris - Remastered Julio Sosa Var贸n (Remastered),,,,,,,itunes
endemoniado::tren loco,False,Endemoniado Tren Loco Ruta 197,,,,,,,itunes
endless rain - remaster::x japan,False,ENDLESS RAIN - Remaster X JAPAN Blue Blood,,,,,,,itunes
enemies::the score,False,Enemies The Score Metamorph,,,,,,,itunes
enjoy the ride - james talk & ridney remix::roy davis jr. j.noize kaye fox james talk ridney,False,"Enjoy the Ride - James Talk & Ridney Remix Roy Davis Jr. J.Noize Kaye Fox James Talk Ridney Ridney pres. Retrospective, Vol. 1",,,,,,,itunes
enk猫n y猫l茅l猫besh::girma b猫y猫n猫 akal茅 wub茅,False,Enk猫n Y猫l茅l猫besh Girma B猫y猫n猫 Akal茅 Wub茅 Mistakes on Purpose (Ethiopiques 30),,,,,,,itunes
eres mis ganas::los amigos invisibles,False,Eres Mis Ganas Los Amigos Invisibles El Paradise,,,,,,,itunes
erro planejado::rafinha o big love,False,Erro Planejado Rafinha o Big Love 脡 Bom de Verdade,,,,,,,itunes
eskgrow::moon ladder,False,Eskgrow Moon Ladder Epsom Road,,,,,,,itunes
espetinho::os parazim,False,Espetinho Os Parazim O Som do Bbq,,,,,,,itunes
espiral de ilus茫o::criolo,False,Espiral de Ilus茫o Criolo Espiral de Ilus茫o,,,,,,,itunes
esqueceu foi porra::eric land tarc铆sio do acordeon,False,Esqueceu Foi Porra Eric Land Tarc铆sio do Acordeon Esqueceu Foi Porra,,,,,,,itunes
esto es lo que hay::los amigos invisibles,False,Esto Es Lo Que Hay Los Amigos Invisibles Live En Una Noche Tan Linda Como Esta Vol 1,,,,,,,itunes
eu tamb茅m n茫o vou - ao vivo::humberto & ronaldo 脥caro e gilmar,False,"Eu Tamb茅m N茫o Vou - Ao Vivo Humberto & Ronaldo 脥caro e Gilmar Ao Vivo em Goi芒nia, Completo",,,,,,,itunes
eu t么 carente::raquel dos teclados,False,Eu T么 Carente Raquel dos Teclados VOL 1,,,,,,,itunes
euphor::novo amor ed tullett lowswimmer,False,Euphor Novo Amor Ed Tullett Lowswimmer,,,,,,,itunes
everlong::foo fighters,False,Everlong Foo Fighters The Colour And The Shape,,,,,,,itunes
evermore::dan stevens,False,Evermore Dan Stevens Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),,,,,,,itunes
every season::tony allen damon albarn ty,False,Every Season Tony Allen Damon Albarn Ty HomeCooking,,,,,,,itunes
everybody have a good time::paul johnson,False,Everybody Have A Good Time Paul Johnson Various Artists 01,,,,,,,itunes
everybody talks::neon trees,False,Everybody Talks Neon Trees Picture Show,,,,,,,itunes
experience::ludovico einaudi daniel hope i virtuosi italiani,False,Experience Ludovico Einaudi Daniel Hope I Virtuosi Italiani In A Time Lapse,,,,,,,itunes
eye nyam nam 'a' mensuro - henrik schwarz blend::ebo taylor pat thomas henrik schwarz,False,Eye Nyam Nam 'A' Mensuro - Henrik Schwarz Blend Ebo Taylor Pat Thomas Henrik Schwarz Ene Nyame (Henrik Schwarz Blend),,,,,,,itunes
eye of the storm::battle beast,False,Eye of the Storm Battle Beast Circus Of Doom,,,,,,,itunes
e鍏堢敓 閫ｇ挵涓嶅垢浜嬩欢::edan 鍛傜埖瀹?,False,E鍏堢敓 閫ｇ挵涓嶅垢浜嬩欢 Edan 鍛傜埖瀹? E鍏堢敓 閫ｇ挵涓嶅垢浜嬩欢,,,,,,,itunes
fade into you::mazzy star,False,Fade Into You Mazzy Star So Tonight That I Might See,,,,,,,itunes
fala a verdade para ele::pablo,False,Fala a Verdade para Ele Pablo Um Novo Passo,,,,,,,itunes
falling in love::cigarettes after sex,True,Falling In Love Cigarettes After Sex Cry,Falling in Love,Cigarettes After Sex,Cry,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/69/e5/12/69e51261-3f93-855e-a777-353be51a9d38/mzaf_12150584666868933268.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/a2/1e/b4/a21eb48e-05ac-ace3-00f5-c1cb53e74e58/720841217305_Cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/falling-in-love/1476598231?i=1476598239&uo=4,itunes
falling leaves::major7th,False,Falling Leaves major7th Falling Leaves,,,,,,,itunes
fandango::magicmint,False,Fandango MAGICMINT Fandango,,,,,,,itunes
fantastic man::william onyeabor,False,Fantastic Man William Onyeabor World Psychedelic Classics 5: Who Is William Onyeabor?,,,,,,,itunes
fast as a shark::accept,False,Fast as a Shark Accept Restless And Wild,,,,,,,itunes
finale - tango apasionado::astor piazzolla,False,Finale - Tango Apasionado Astor Piazzolla Rough Dancer And The Cyclical Night,,,,,,,itunes
fingers crossed::lazy leopard,False,Fingers Crossed Lazy Leopard Fingers Crossed,,,,,,,itunes
fire - remastered::red hot chili peppers,True,Fire - Remastered Red Hot Chili Peppers Kick It,Californication,Red Hot Chili Peppers,Californication (Remastered),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/30/57/a2/3057a2dc-cbd7-bea7-66fd-7680c0a47c68/mzaf_7704768448750272219.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/4c/86/1d/4c861dab-5428-f3b7-8068-82bb69db5e89/093624932130.jpg/600x600bb.jpg,https://music.apple.com/us/album/californication/945575406?i=945575413&uo=4,itunes
fire blood and steel::brothers of metal,False,Fire Blood and Steel Brothers of Metal Prophecy of Ragnar枚k,,,,,,,itunes
firestarter - andy c remix::the prodigy andy c,False,Firestarter - Andy C Remix The Prodigy Andy C Firestarter (Andy C Remix),,,,,,,itunes
firestarter::the prodigy,False,Firestarter The Prodigy The Fat of the Land,,,,,,,itunes
"flos potentia (sugar, cotton, tabacco)::ron trent khruangbin",False,"Flos Potentia (Sugar, Cotton, Tabacco) Ron Trent Khruangbin Flos Potentia (Sugar, Cotton, Tabacco)",,,,,,,itunes
floweret::dusty decks,False,Floweret Dusty Decks Floweret,,,,,,,itunes
fogo (vers茫o estendida)::baianasystem orquestra afrosinf么nica,False,Fogo (Vers茫o Estendida) BaianaSystem Orquestra Afrosinf么nica Fogo (Vers茫o Estendida),,,,,,,itunes
fogo sem fuzil::bonde do gato preto,False,Fogo Sem Fuzil Bonde do gato preto S茫o Jo茫o do Gato Preto,,,,,,,itunes
foi amor::z茅 vaqueiro,False,Foi Amor Z茅 Vaqueiro O Original,,,,,,,itunes
for good again::the devil makes three,False,For Good Again The Devil Makes Three Do Wrong Right,,,,,,,itunes
for mark::joep beving,True,For Mark Joep Beving For Mark,For Mark,Joep Beving,Hermetism,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d8/72/b1/d872b1e3-2e57-8a3a-791e-cfe4b547c15a/mzaf_8802414112929600533.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/90/ae/cf/90aecfd0-a592-2045-4f68-5f2e5693d3c8/21UM1IM20977.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/for-mark/1604867963?i=1604867965&uo=4,itunes
"for the first time in forever (reprise) - from ""frozen""/soundtrack version::kristen bell idina menzel",False,"For the First Time in Forever (Reprise) - From ""Frozen""/Soundtrack Version Kristen Bell Idina Menzel Frozen (Original Motion Picture Soundtrack / Deluxe Edition)",,,,,,,itunes
"for the first time in forever - from ""frozen""/soundtrack version::kristen bell idina menzel",False,"For the First Time in Forever - From ""Frozen""/Soundtrack Version Kristen Bell Idina Menzel Frozen (Original Motion Picture Soundtrack / Deluxe Edition)",,,,,,,itunes
for those tears i died::the isaacs,False,For Those Tears I Died The Isaacs The Living Years,,,,,,,itunes
for your relief::calming eyes,False,For Your Relief Calming Eyes Graceful,,,,,,,itunes
forr贸 no interior::z茅 vaqueiro,False,Forr贸 No Interior Z茅 Vaqueiro O Original,,,,,,,itunes
fracture::stephan moccio,True,Fracture Stephan Moccio Fracture,Fracture,Stephan Moccio,Fracture - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/83/0f/99/830f9978-cdb3-4f3d-53a3-bf3d99f5b5b1/mzaf_11213975600537060041.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/8c/d2/6e/8cd26ec7-afa6-e4e7-f78a-78636e6b432b/20UMGIM23064.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/fracture/1506107847?i=1506107850&uo=4,itunes
freckles::the new mastersounds,False,Freckles The New Mastersounds Breaks from the Border,,,,,,,itunes
frenemy::mc 寮靛ぉ璩?kaho hung,False,Frenemy MC 寮靛ぉ璩?Kaho Hung Frenemy,,,,,,,itunes
frio da solid茫o - ao vivo::lagosta bronzeada,False,Frio da Solid茫o - Ao Vivo Lagosta Bronzeada Pra Recordar (Ao Vivo),,,,,,,itunes
from hell with love::beast in black,False,From Hell with Love Beast In Black From Hell with Love,,,,,,,itunes
front porch::joy williams,False,Front Porch Joy Williams Front Porch,,,,,,,itunes
frozen grapes::vibe academy,False,frozen grapes vibe academy frozen grapes,,,,,,,itunes
"frozen heart - from ""frozen""/soundtrack version::cast - frozen",False,"Frozen Heart - From ""Frozen""/Soundtrack Version Cast - Frozen Frozen (Original Motion Picture Soundtrack / Deluxe Edition)",,,,,,,itunes
full throttle - original mix::the prodigy,False,Full Throttle - Original Mix The Prodigy One Love,,,,,,,itunes
fumando espero::alfredo de angelis carlos dante,False,Fumando Espero Alfredo De Angelis Carlos Dante Yo Soy El Tango,,,,,,,itunes
funk the rich - original::malente,False,Funk The Rich - Original Malente No Risk No Funk (10 Year Anniversary Edition),,,,,,,itunes
funky mountain fogdown::leftover salmon,False,Funky Mountain Fogdown Leftover Salmon Euphoria,,,,,,,itunes
funky shit::the prodigy,False,Funky Shit The Prodigy The Fat of the Land,,,,,,,itunes
fyll ditt sinn med kj忙rlighet::heidi ruud ellingsen espen grjotheim nils j酶rgen kaalstad anders bye,False,Fyll ditt sinn med kj忙rlighet Heidi Ruud Ellingsen Espen Grjotheim Nils J酶rgen Kaalstad Anders Bye L酶venes Konge (Originalt Norsk Soundtrack),,,,,,,itunes
gabriel - live garage mix::roy davis jr. peven everett,False,Gabriel - Live Garage Mix Roy Davis Jr. Peven Everett Gabriel,,,,,,,itunes
galvanize::the chemical brothers,False,Galvanize The Chemical Brothers Push The Button,,,,,,,itunes
garras::horcas,False,Garras Horcas Vence,,,,,,,itunes
gate crashers suck::keller williams,False,Gate Crashers Suck Keller Williams Stage,,,,,,,itunes
"georgiana - from ""pride & prejudice"" soundtrack::dario marianelli english chamber orchestra benjamin wallfisch",True,"Georgiana - From ""Pride & Prejudice"" Soundtrack Dario Marianelli English Chamber Orchestra Benjamin Wallfisch Pride and Prejudice - OST",Georgiana,Benjamin Wallfisch & English Chamber Orchestra,Pride & Prejudice (Music from the Motion Picture),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ac/6e/7e/ac6e7e6f-3bf7-0899-69ed-b83f11a4ec73/mzaf_9764155921506498777.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/b4/5a/57/b45a5707-2711-7134-48f3-94244bc1d213/00028947630913.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/georgiana/1442444045?i=1442444327&uo=4,itunes
get get down - original mix::paul johnson,False,Get Get Down - Original Mix Paul Johnson The Groove I Have LP,,,,,,,itunes
get get down::paul johnson,False,Get Get Down Paul Johnson Get Get Down,,,,,,,itunes
get kinky::plump djs,False,Get Kinky Plump DJs Get Kinky,,,,,,,itunes
get up off me '95 - dub::cajmere dajae,False,Get Up Off Me '95 - Dub Cajmere Dajae It's Time,,,,,,,itunes
gil trabajador::hermetica,False,Gil Trabajador Hermetica Acido Argentino,,,,,,,itunes
give me your forever::zack tabudlo,True,Give Me Your Forever Zack Tabudlo Episode,Give Me Your Forever,Zack Tabudlo,Episode,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ca/2b/20/ca2b201e-739c-6500-217a-ad6a7864b462/mzaf_8357718588881683590.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f8/fe/aa/f8feaae7-f0ec-ab22-c06f-1ca45232ea14/21UM1IM13834.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/give-me-your-forever/1588000232?i=1588000628&uo=4,itunes
glitz rock::felix da housecat,False,Glitz Rock Felix Da Housecat Kittenz And Thee Glitz,,,,,,,itunes
glue::bicep,True,Glue Bicep Bicep,Glue,Bicep,Bicep,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/7c/9c/f6/7c9cf6b3-424a-3cce-96c3-c192b2f6e566/mzaf_4559815962369019993.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/79/cf/44/79cf445f-4b04-7a27-54a4-cdf57cf1d6ac/5054429119084.png/600x600bb.jpg,https://music.apple.com/us/album/glue/1240586047?i=1240586502&uo=4,itunes
go the distance::roger bart disney,False,Go the Distance Roger Bart Disney Hercules (Original Motion Picture Soundtrack),,,,,,,itunes
go::the chemical brothers,False,Go The Chemical Brothers Born In The Echoes,,,,,,,itunes
god of revival - live::bethel music brian johnson jenn johnson,True,God of Revival - Live Bethel Music Brian Johnson Jenn Johnson Revival's In The Air (Live),God of Revival,Phil Wickham,Hymn Of Heaven,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/2e/9e/7e/2e9e7e1b-5417-5979-bf99-48d8c7e3d0af/mzaf_6005544615936478045.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/ea/b9/39/eab93984-22d7-3c8a-0d3c-c5071de990f0/886449248742.jpg/600x600bb.jpg,https://music.apple.com/us/album/god-of-revival/1566041335?i=1566041616&uo=4,itunes
good 4 u (acoustic)::jonah baker,False,Good 4 U (Acoustic) Jonah Baker Good 4 U (Acoustic),,,,,,,itunes
goodness of god - live::bethel music jenn johnson,True,Goodness of God - Live Bethel Music Jenn Johnson Victory (Live),Goodness of God (Radio Version),Jenn Johnson,Goodness of God (Radio Version) - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/8a/f7/80/8af780e4-a1ed-fe77-c804-9a644dcfd78d/mzaf_4622543181637592044.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/98/5f/12/985f1227-cf34-54c7-71f8-6e9852ea5d89/671072649628_TImage.jpg/600x600bb.jpg,https://music.apple.com/us/album/goodness-of-god-radio-version/1747841472?i=1747841473&uo=4,itunes
got that booty - original mix::dj fixx keith mackenzie,False,Got That Booty - Original Mix DJ Fixx Keith Mackenzie Got That Booty,,,,,,,itunes
got to keep on::the chemical brothers,False,Got To Keep On The Chemical Brothers No Geography,,,,,,,itunes
gracefully facedown::the devil makes three,False,Gracefully Facedown The Devil Makes Three Do Wrong Right,,,,,,,itunes
grateful::limoblaze moses bliss,False,Grateful Limoblaze Moses Bliss Grateful,,,,,,,itunes
gravity::sara bareilles,True,Gravity Sara Bareilles Little Voice,Gravity,Sara Bareilles,Little Voice,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/72/ef/2b/72ef2bf6-ffda-ec5f-fbc6-bc2819cda06b/mzaf_14938139011889465542.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/8a/22/1c/8a221cd8-015e-6221-c0eb-fc3ccfa5a37c/827969482124.jpg/600x600bb.jpg,https://music.apple.com/us/album/gravity/258604731?i=258606686&uo=4,itunes
groovy flute::manu dibango,False,Groovy Flute Manu Dibango African Voodoo,,,,,,,itunes
"guitars, whiskey, guns and knives::the steeldrivers",False,"Guitars, Whiskey, Guns And Knives The Steeldrivers Reckless",,,,,,,itunes
habang buhay::zack tabudlo,True,Habang Buhay Zack Tabudlo Episode,Habang Buhay,Zack Tabudlo,Episode,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3e/ef/93/3eef936d-7d80-b3dd-826f-77eee4990ed0/mzaf_15818768500353118811.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f8/fe/aa/f8feaae7-f0ec-ab22-c06f-1ca45232ea14/21UM1IM13834.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/habang-buhay/1588000232?i=1588000432&uo=4,itunes
"hakuna matata - from ""the lion king""/soundtrack::nathan lane ernie sabella jason weaver joseph williams",False,"Hakuna Matata - From ""The Lion King""/Soundtrack Nathan Lane Ernie Sabella Jason Weaver Joseph Williams The Lion King",,,,,,,itunes
hakuna matata::billy eichner seth rogen jd mccrary childish gambino,False,Hakuna Matata Billy Eichner Seth Rogen JD McCrary Childish Gambino The Lion King (Original Motion Picture Soundtrack),,,,,,,itunes
halcyon and on and on::orbital,False,Halcyon and On and On Orbital Orbital 2,,,,,,,itunes
halloween::novo amor,True,"Halloween Novo Amor Cannot Be, Whatsoever",Halloween,Novo Amor,"Cannot Be, Whatsoever",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/40/8d/6c/408d6cc7-bbd9-79b8-6d19-7fac9ee516d2/mzaf_1476886430722858649.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/c1/bc/3d/c1bc3d50-89d1-a15b-2175-7d1b7b3dd502/cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/halloween/1672226963?i=1672228284&uo=4,itunes
hands together - mixed::gershon jackson reset preset,False,Hands Together - Mixed Gershon Jackson Reset Preset Defected Radio Episode 114 (hosted by Sam Divine),,,,,,,itunes
hands together::gershon jackson reset preset,False,Hands Together Gershon Jackson Reset Preset Hands Together,,,,,,,itunes
hangin鈥?around::the steeldrivers,False,Hangin鈥?Around The Steeldrivers The Muscle Shoals Recordings,,,,,,,itunes
hard rock hallelujah::lordi,False,Hard Rock Hallelujah Lordi The Arockalypse,,,,,,,itunes
hard sun::eddie vedder,True,Hard Sun Eddie Vedder Into The Wild (Music For The Motion Picture),Hard Sun,Eddie Vedder,Into the Wild (Music For the Motion Picture),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/33/55/4c/33554c29-fd73-1117-6839-628d5e75880d/mzaf_12079402673456055772.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/7d/20/b8/7d20b80e-a1eb-f983-4a06-9ce62297ee1a/00602567018261.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/hard-sun/1440897227?i=1440897625&uo=4,itunes
hardcore::beast in black,False,Hardcore Beast In Black Dark Connection,,,,,,,itunes
have it all::jason mraz,True,Have It All Jason Mraz Know.,Have It All,Jason Mraz,Know.,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/91/d7/61/91d761b7-ec25-0d36-4056-07e180b31957/mzaf_12278255356170128731.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/a0/3c/ab/a03cab3f-15da-aa8b-b770-4aad2d07164f/075679871503.jpg/600x600bb.jpg,https://music.apple.com/us/album/have-it-all/1396746290?i=1396747070&uo=4,itunes
haven (from life is strange)::novo amor,True,Haven (from Life Is Strange) Novo Amor Haven (from Life Is Strange),Haven (from Life Is Strange),Novo Amor,Haven (from Life Is Strange) - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/4f/bb/50/4fbb5050-916e-ca12-ae31-52138dc031f0/mzaf_7991563177558864744.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/2e/ff/5a/2eff5a68-f274-907e-7eab-4e793d46cdf1/cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/haven-from-life-is-strange/1672226748?i=1672226774&uo=4,itunes
hear the music::paul johnson,False,Hear The Music Paul Johnson Feel The Music,,,,,,,itunes
hearing::sleeping at last,True,Hearing Sleeping At Last Atlas: II,Hearing,Sleeping At Last,Atlas: II,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/58/6e/72/586e728d-945d-df14-59ce-769ef93331fc/mzaf_816419588971786723.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/f5/3e/16/f53e1668-fd10-1449-039e-5beef4b937ed/859735241048_cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/hearing/1484386235?i=1484386909&uo=4,itunes
heart of steel::beast in black,False,Heart of Steel Beast In Black From Hell with Love,,,,,,,itunes
heart-shaped box::nirvana,False,Heart-Shaped Box Nirvana In Utero - 20th Anniversary - Deluxe Edition,,,,,,,itunes
heartaches by the number::guy mitchell,False,Heartaches by the Number Guy Mitchell,,,,,,,itunes
heavenly::cigarettes after sex,True,Heavenly Cigarettes After Sex Cry,Heavenly,Cigarettes After Sex,Cry,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/7d/46/e8/7d46e85f-376f-ea20-4a4b-134e2b387c62/mzaf_14600458618046944149.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/a2/1e/b4/a21eb48e-05ac-ace3-00f5-c1cb53e74e58/720841217305_Cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/heavenly/1476598231?i=1476598234&uo=4,itunes
here without you::3 doors down,True,Here Without You 3 Doors Down Away From The Sun,Here Without You,3 Doors Down,Away from the Sun,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e8/ba/ea/e8baeaa3-9a5a-e109-cbd1-0585417318c2/mzaf_5481165857237274141.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/0a/c0/0d/0ac00d65-4327-29b1-6a1e-4f1e2684d758/06UMGIM23627.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/here-without-you/1440739556?i=1440739980&uo=4,itunes
herinneringen::sohn aelia,False,Herinneringen Sohn Aelia Herinneringen,,,,,,,itunes
hey boy hey girl::the chemical brothers,False,Hey Boy Hey Girl The Chemical Brothers Surrender,,,,,,,itunes
hey jude::the beatles,False,Hey Jude The Beatles,,,,,,,itunes
higher than the wall::the steeldrivers,False,Higher Than The Wall The Steeldrivers Reckless,,,,,,,itunes
hikare inochi::kitri,False,Hikare Inochi Kitri Hikare Inochi,,,,,,,itunes
historia de un amor::argentino ledesma,False,Historia de un amor Argentino Ledesma Argentino Ledesma - Fumando espero,,,,,,,itunes
history repeating - knee length mix::propellerheads shirley bassey,False,History Repeating - Knee Length Mix Propellerheads Shirley Bassey Decksandrumsandrockandroll 20th anniversary,,,,,,,itunes
hoje 脿 noite::calcinha preta,False,"Hoje 脿 Noite Calcinha Preta Hoje 脿 Noite, Vol. 11 (In茅ditas e ao Vivo)",,,,,,,itunes
hold on::chord overstreet,True,Hold On Chord Overstreet Hold On,Hold On,Chord Overstreet,Hold On - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b4/02/ec/b402ec4f-9241-66c2-6b80-e3ef31edf6e4/mzaf_17515587907423311772.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/32/93/40/3293407f-621b-b9ce-03c3-f9a026bbe385/20UMGIM74434.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/hold-on/1530598656?i=1530598659&uo=4,itunes
home again::menahan street band,False,Home Again Menahan Street Band Make the Road By Walking,,,,,,,itunes
hometown::sarah jarosz,False,Hometown Sarah Jarosz World On The Ground,,,,,,,itunes
