cache_key,found,query,track_name,artist_name,collection_name,preview_url,artwork_url,track_view_url,source
anchor::novo amor,True,Anchor Novo Amor Bathing Beach,Anchor,Novo Amor,Bathing Beach - EP,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/36/2f/c8/362fc812-1ab6-e7b7-ba85-03697ceb8246/mzaf_14649291434556829701.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/54/4b/e1/544be1ff-5505-56dc-2720-96da95313a8e/cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/anchor/1672226910?i=1672227410&uo=4,itunes
anchor::rob scallon,False,Anchor Rob Scallon Anchor EP (Tour Edition),,,,,,,itunes
anclao en par铆s::sandra luna juan esteban cuacci,False,Anclao en Par铆s Sandra Luna Juan Esteban Cuacci Solos,,,,,,,itunes
and i love her::kurt cobain,True,And I Love Her Kurt Cobain Montage Of Heck: The Home Recordings,And I Love Her,Kurt Cobain,Montage of Heck: The Home Recordings (Deluxe Soundtrack),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a8/e9/d8/a8e9d8dc-aa60-eee8-ae7a-b15c3f02c858/mzaf_3681668398348665042.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/d6/c3/db/d6c3db6c-8fa0-2132-f323-41ffe66fed3f/00602547607089.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/and-i-love-her/1443299811?i=1443301113&uo=4,itunes
and so i dance::larry heard,False,"And So I Dance Larry Heard Dance 2000, Part 2",,,,,,,itunes
angel delight::jimmy lite hands,False,Angel Delight Jimmy Lite Hands Angel Delight,,,,,,,itunes
angelina::tommy emmanuel,False,Angelina Tommy Emmanuel Endless Road,,,,,,,itunes
angels we have heard on high (remastered 2014)::traditional royal philharmonic orchestra,False,"Angels We Have Heard on High (Remastered 2014) Traditional Royal Philharmonic Orchestra Classical Christmas, Vol. 1",,,,,,,itunes
answers::elmer loyd,False,Answers Elmer Loyd Answers,,,,,,,itunes
antiguo reloj de cobre::miguel montero,False,Antiguo Reloj De Cobre Miguel Montero Antiguo Reloj De Cobre,,,,,,,itunes
apelido carinhoso::silvanno salles,False,Apelido Carinhoso Silvanno Salles Volume 22,,,,,,,itunes
apocalypse::cigarettes after sex,False,Apocalypse Cigarettes After Sex Cigarettes After Sex,,,,,,,itunes
apodado hijo del diablo::mastifal,False,Apodado hijo del diablo Mastifal Holocausto Mental (Remastered),,,,,,,itunes
appreciation::vishal casey,False,Appreciation Vishal Casey Appreciation,,,,,,,itunes
apricots::bicep,True,Apricots Bicep Isles,Apricots,Bicep,Isles,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/83/2b/11/832b11e1-39a9-5c0f-4228-daf2dbf905ef/mzaf_12949471302064985695.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/69/12/b0/6912b05d-b728-f9f6-cb2b-ba99082c9123/5054429139228.png/600x600bb.jpg,https://music.apple.com/us/album/apricots/1531704818?i=1531704822&uo=4,itunes
aquarius/let the sunshine in (the flesh failures)::the 5th dimension,False,Aquarius/Let the Sunshine In (The Flesh Failures) The 5th Dimension,,,,,,,itunes
are and be::wavcrush,False,are and be wavcrush pair of dice,,,,,,,itunes
are you lonesome tonight?::elvis presley,False,Are You Lonesome Tonight? Elvis Presley,,,,,,,itunes
arlington::the wailin' jennys,False,Arlington The Wailin' Jennys 40 Days,,,,,,,itunes
arrabalera::tita merello,False,Arrabalera Tita Merello Tita De Buenos Aires,,,,,,,itunes
